track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
6G5DVpV3YhXQwUs29FUR0F,Hourglass,9,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.523,0.777,2,0,-5.126,0.0546,0.00141,0.0,0.0694,0.355,110.026,218093,3,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
0QXo2c2sjucrOKJnWgpiiA,Fall To Fly,9,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.484,0.858,8,1,-4.942,0.0527,0.000218,0.0,0.391,0.484,103.034,216507,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
7HDSjRkTAAJvu5SkZJBOWF,Secrets,7,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.49,0.845,5,1,-4.844,0.0622,0.00245,0.0,0.954,0.611,139.917,224173,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
0cRaLMQgMbQITSquajYWAC,Reflections,8,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.541,0.856,0,0,-5.189,0.0388,0.00696,0.0,0.148,0.566,112.048,208960,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
0rlHdGUp142q1YZHcCXnQM,Unbreakable,8,hard-rock,Kris Barras Band,30,16732,"['modern hard rock', 'nwocr']",Halo Effect (Piano & Acoustic Edition),0.502,0.861,0,0,-4.602,0.0449,0.000328,0.0,0.347,0.401,105.111,171453,4,241MOvr69jR2U48FW5WbKv,spotify:album:1qytbYC7GxJH0Bk9M5aT9Z
5NnAD8ss9W7xwqv27Kszbc,Strange Kind of Woman - Live in Montreux 1971,12,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.308,0.537,9,1,-11.488,0.083,0.0203,0.00163,0.251,0.588,129.559,501293,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
15ZumWK0RnyNWvlmQVnnUt,Lucille (Live 1972) - 2024 Remaster,12,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.34,0.923,2,1,-8.663,0.0819,0.0153,0.0117,0.971,0.398,160.094,453947,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
1fevluFCfPMqWAgUl4hXki,Maybe I'm a Leo (Soundcheck) [Live 1972] - 2024 Remaster,11,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.492,0.758,5,1,-7.746,0.027,0.105,0.00441,0.0773,0.783,89.112,271986,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
41958h4wFeFbRZtk1M9wPd,Black Night - Live in Montreux 1971,12,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.211,0.743,2,1,-10.772,0.0557,0.0142,0.000856,0.955,0.474,142.032,467520,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
32q2fnWCxL5SP7Bf03LyMQ,Lucille - Live in Montreux 1971,11,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.367,0.521,7,1,-12.756,0.0736,0.0354,0.000193,0.95,0.62,148.161,350257,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
6qWPxR03Jyde8qqw1Km1SK,Wring That Neck (Hard Road) - Live in Montreux 1971,12,hard-rock,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Machine Head (Super Deluxe),0.295,0.378,7,0,-13.87,0.044,0.427,0.000608,0.548,0.26,84.713,1029160,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:4ufVNYBWywTd6RJdYCtzE3
