track_uri,track_name,track_pop,track_genre,artist_name,artist_pop,artist_followers,artist_genres,album,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_uri,album_uri
59ekQXxOrk6W3VZMFveeCu,Of War and Flames,9,metal,Alterium,21,3795,['symphonic power metal'],Crystalline,0.483,0.974,8,1,-5.425,0.0902,0.00583,0.00423,0.109,0.179,150.065,286164,4,5oh1CpxnZIlp8WvW9769nV,spotify:album:7m0GPjAKG1WDhMKSNS5yMm
6eCe3hwmtcjgoDcFnuHd9o,Shit and Lobster,11,metal,Helloween,54,1210205,"['german metal', 'german power metal', 'hard rock', 'metal', 'old school thrash', 'power metal', 'speed metal', 'symphonic metal', 'thrash metal']",Treasure Chest (Bonus Track Edition),0.35,0.987,9,1,-4.568,0.0856,0.0761,0.0,0.186,0.212,160.924,250453,4,4pQN0GB0fNEEOfQCaWotsY,spotify:album:4um5eTePKJMcJGcyht5sNb
0HulC3xQTlMR2nuKWH2JIW,Raven and Dagger,4,metal,Druadan Forest,7,5027,"['ambient black metal', 'atmospheric black metal', 'epic black metal', 'tolkien metal']",Dismal Spells Part 2 (The Night Circus),0.172,0.00261,0,1,-37.727,0.0415,0.981,0.934,0.112,0.0328,71.588,254000,4,1YsW5TyyqPAomPet0olxoo,spotify:album:1ny1qvGej7K0ukmx9iJgZs
4L9fY6klo6SOClPiO5KGvT,Never Before (Live 1972) - 2024 Remaster,7,metal,Deep Purple,63,5406693,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",Never Before (Live 1972) [2024 Remaster],0.459,0.736,11,0,-9.64,0.186,0.203,0.0,0.916,0.715,147.909,318200,4,568ZhdwyaiCyOGJRtNYhWf,spotify:album:2KRAjUGcX2k17k5KiTiugI
7hPp8oCoOwGChWCNxSskiv,Broken and Alone - Live Oct 5th 2022,1,metal,Nunslaughter,23,35329,"['black death', 'black metal', 'death metal', 'deathgrind', 'pittsburgh metal']",Split w Kurnugia (Live Oct 5th 2022),0.281,0.996,1,1,-4.519,0.139,6.24e-06,0.0275,0.297,0.0672,113.056,107573,4,1RRRmpSvStg4uN6uAZRyGQ,spotify:album:0mXCDc2tJh9n6TIhRyhlU5
0Gd5K0RaXL1n5Obd1UjZwU,Sodomy and Lust - Cover,3,metal,Spiritual Hate,4,986,['brazilian death metal'],Malvm Perpetvm,0.35,0.981,1,1,-3.662,0.179,0.000654,0.664,0.458,0.309,115.408,293363,4,4l0CkFczCBdqeHGTJeGqR6,spotify:album:1Q54KV3coWcrJhZ1avAJZD
75M17OT5A3I1rmHQNu9lPg,Відчай,10,metal,Telema,16,3045,['ukrainian metalcore'],Страх. Відчай. Лють. Гнів.,0.361,0.912,6,1,-4.529,0.0571,0.000124,0.0,0.0805,0.376,164.947,139636,3,612GIZcOy1jQVjg8DXGBfJ,spotify:album:6hsZm0KpC1YIxgzdyjP6Je
0zU7RRkxg7UnhSyoDAiZgE,Sick and Depraved,3,metal,Infection,3,352,['peruvian death metal'],The Cryptic Homicides,0.228,0.979,9,1,-6.73,0.121,0.00158,0.946,0.345,0.363,122.51,218480,4,3Zw1Tr0wkYPoKsYjFLOFYb,spotify:album:6nrOYk9oD0Sjc5j9OeeQaY
3b58wyQbwNG90oIOQ7SgyG,Protect and Serve,4,metal,Disarmageddon,2,209,['south african metal'],No Liberty,0.276,0.948,9,1,-10.893,0.0709,9.86e-06,0.321,0.153,0.114,94.834,285343,4,5csXcCP32RoCq1uXu3igrz,spotify:album:4D53wB7fY3JG06juVzKLoi
5kP9rzD50dBMOIJV4xTWGM,España es idiota - Remix J. Al Ándalus,15,metal,Def Con Dos,33,50171,"['rap metal espanol', 'spanish metal', 'spanish punk']",España es idiota (Remix J. Al Ándalus),0.68,0.858,1,1,-4.944,0.228,0.00486,0.0,0.109,0.55,144.94,165977,4,1O4hqQz2nV0jrlF9VEFBNK,spotify:album:3inCR9kacEA9aWLUEAnjJO
